Feature,Importance
STR_16pcw_M_12287,0.10281764
DFC_4mos_M_12890,0.1025648
AMY_15yrs_M_12299,0.05637606
STR_13pcw_M_12820,0.05087393
HIP_2yrs_F_12979,0.045593176
OFC_8pcw_M_13058,0.040547784
M1C_8yrs_M_12841,0.033173744
ITC_15yrs_M_12299,0.031760328
DFC_16pcw_M_12837,0.031165954
STR_21pcw_M_12886,0.030525029
DFC_4yrs_M_12298,0.025306668
CBC_10mos_M_12977,0.023894046
AMY_4mos_M_12890,0.023528682
ITC_12pcw_F_13060,0.023516828
MD_37yrs_M_12303,0.023395143
AMY_12pcw_F_12960,0.023347402
STC_24pcw_M_12288,0.022781927
MFC_18yrs_M_12984,0.022229202
V1C_16pcw_M_12879,0.022027453
STR_4mos_M_12296,0.02189809
CBC_4mos_M_12296,0.021690564
AMY_3yrs_F_12836,0.021557868
CBC_24pcw_M_12288,0.02069859
OFC_21yrs_F_13057,0.020616397
ITC_4mos_M_12889,0.020504855
CBC_30yrs_F_12290,0.02046098
A1C_30yrs_F_12290,0.020314895
STR_12pcw_F_12835,0.020044146
A1C_4mos_M_12889,0.019677887
MFC_2yrs_F_12979,0.01949114
MGE_8pcw_M_13058,0.018833501
STR_30yrs_F_12290,0.01878531
